CO,MQ135,Temperature,Humidity,CO2,TVOC,DustDensity
167,41.0,33.7,45.0,540.0,21.0,0.0
167,38.0,33.4,45.0,545.0,22.0,0.0
167,41.0,33.4,45.0,548.0,22.0,0.0
168,37.0,33.4,45.0,548.0,22.0,0.0
171,42.0,33.7,45.0,534.0,20.0,4.0
168,35.0,33.7,45.0,518.0,17.0,0.0
167,38.0,33.7,45.0,567.0,25.0,15.0
168,38.0,33.7,45.0,566.0,25.0,0.0
169,38.0,33.7,45.0,556.0,23.0,0.0
169,38.0,33.7,45.0,580.0,27.0,0.0
170,38.0,33.6,46.0,580.0,27.0,0.0
171,42.0,33.4,46.0,581.0,27.0,3.0
167,38.0,33.4,46.0,588.0,28.0,0.0
172,42.0,33.4,46.0,584.0,28.0,4.0
173,42.0,33.4,46.0,592.0,29.0,4.0
174,42.0,33.4,46.0,545.0,22.0,4.0
171,41.0,33.4,46.0,588.0,28.0,0.0
171,38.0,33.7,46.0,575.0,26.0,0.0
170,41.0,33.7,46.0,561.0,24.0,4.0
170,37.0,33.8,46.0,561.0,24.0,0.0
170,39.0,33.8,45.0,551.0,23.0,2.0
173,44.0,33.8,45.0,500.0,15.0,4.0
167,38.0,33.8,45.0,560.0,24.0,0.0
167,38.0,33.8,45.0,543.0,21.0,0.0
167,38.0,33.8,45.0,527.0,19.0,0.0
173,43.0,33.8,45.0,548.0,22.0,0.0
170,40.0,33.8,45.0,572.0,26.0,4.0
162,35.0,33.8,45.0,570.0,25.0,0.0
166,39.0,33.8,45.0,543.0,21.0,0.0
168,35.0,33.8,45.0,530.0,19.0,0.0
168,36.0,33.8,45.0,536.0,20.0,0.0
167,38.0,33.8,45.0,536.0,20.0,0.0
167,41.0,33.8,45.0,536.0,20.0,1.0
168,41.0,33.8,45.0,536.0,20.0,3.0
168,35.0,33.8,45.0,476.0,11.0,1.0
167,38.0,33.8,45.0,527.0,19.0,0.0
167,38.0,33.7,45.0,533.0,20.0,0.0
167,38.0,33.7,45.0,523.0,18.0,1.0
167,38.0,33.7,44.0,537.0,20.0,3.0
167,38.0,33.8,44.0,543.0,21.0,0.0
169,39.0,33.8,44.0,551.0,23.0,0.0
168,41.0,33.8,44.0,542.0,21.0,2.0
168,40.0,33.8,44.0,546.0,22.0,0.0
172,41.0,33.8,44.0,551.0,23.0,0.0
164,45.0,33.8,44.0,486.0,13.0,3.0
171,39.0,33.8,44.0,552.0,23.0,0.0
168,41.0,33.8,44.0,555.0,23.0,0.0
167,38.0,33.8,44.0,542.0,21.0,0.0
167,38.0,33.8,44.0,542.0,21.0,0.0
168,37.0,33.8,44.0,548.0,22.0,0.0
170,43.0,33.8,44.0,483.0,12.0,1.0
173,39.0,33.8,44.0,561.0,24.0,0.0
167,38.0,33.8,44.0,560.0,24.0,1.0
172,42.0,33.8,44.0,551.0,23.0,3.0
169,38.0,33.7,44.0,478.0,11.0,0.0
168,37.0,33.7,44.0,549.0,22.0,0.0
171,42.0,33.7,44.0,546.0,22.0,9.0
169,38.0,33.7,44.0,533.0,20.0,0.0
168,37.0,33.8,44.0,542.0,21.0,0.0
171,44.0,33.8,44.0,545.0,22.0,3.0
167,38.0,33.8,44.0,497.0,14.0,0.0
172,40.0,33.8,44.0,527.0,19.0,0.0
172,43.0,33.8,44.0,526.0,19.0,33.0
172,40.0,33.8,44.0,518.0,17.0,8.0
168,37.0,33.8,44.0,536.0,20.0,0.0
168,36.0,33.8,44.0,553.0,23.0,0.0
169,41.0,33.8,44.0,560.0,24.0,1.0
169,38.0,33.7,44.0,567.0,25.0,0.0
169,38.0,33.7,44.0,570.0,25.0,1.0
174,40.0,33.7,44.0,570.0,25.0,0.0
169,35.0,33.7,44.0,552.0,23.0,0.0
169,35.0,33.7,44.0,577.0,26.0,0.0
168,40.0,33.7,45.0,591.0,29.0,0.0
175,40.0,33.4,45.0,591.0,29.0,8.0
165,43.0,33.4,45.0,527.0,19.0,0.0
177,43.0,33.4,45.0,605.0,31.0,3.0
178,40.0,33.4,45.0,611.0,32.0,4.0
173,39.0,33.4,45.0,615.0,32.0,0.0
180,48.0,33.4,45.0,614.0,32.0,9.0
176,40.0,33.4,45.0,476.0,11.0,0.0
176,40.0,33.3,45.0,617.0,33.0,0.0
174,40.0,33.4,45.0,620.0,33.0,0.0
177,42.0,33.4,45.0,603.0,30.0,4.0
177,42.0,33.4,45.0,464.0,9.0,5.0
174,39.0,33.4,45.0,631.0,35.0,0.0
174,41.0,33.4,45.0,643.0,37.0,0.0
176,35.0,33.4,45.0,640.0,36.0,9.0
178,40.0,33.7,46.0,465.0,9.0,4.0
176,37.0,33.7,46.0,649.0,37.0,0.0
178,43.0,33.5,46.0,572.0,26.0,10.0
178,43.0,33.4,46.0,631.0,35.0,6.0
