OCCUPANCY,WINDOW,CO2,RH,Tin,MONTH_NUM,CO2_x_OCCUPANCY,CO2_x_WINDOW,WINDOW_x_OCCUPANCY,Temp_x_RH
0,0,922.63,32.57,25.53,1,0.0,0.0,0,831.5121
1,0,1151.57,32.56,27.67,1,1151.57,0.0,0,900.9352
1,0,874.1,41.22,27.7,10,874.1,0.0,0,1141.794
0,0,878.28,45.39,24.12,11,0.0,0.0,0,1094.8068
1,0,1454.02,40.65,25.41,11,1454.02,0.0,0,1032.9165
0,0,590.5,37.77,22.71,1,0.0,0.0,0,857.7567000000001
1,0,1153.97,38.52,27.11,11,1153.97,0.0,0,1044.2772
0,0,1068.13,39.98,24.73,11,0.0,0.0,0,988.7054
0,0,610.18,35.43,25.84,4,0.0,0.0,0,915.5112
0,0,576.88,47.38,23.31,1,0.0,0.0,0,1104.4278
0,0,457.08,44.06,24.86,5,0.0,0.0,0,1095.3316
1,0,1025.47,42.9,25.96,10,1025.47,0.0,0,1113.684
0,0,650.22,26.94,26.95,3,0.0,0.0,0,726.033
1,0,1332.02,37.15,26.61,4,1332.02,0.0,0,988.5615
1,1,402.42,32.0,23.71,10,402.42,402.42,1,758.72
0,0,370.7,34.47,23.94,11,0.0,0.0,0,825.2118
0,0,597.93,35.48,23.78,2,0.0,0.0,0,843.7144
0,0,597.62,22.14,26.75,3,0.0,0.0,0,592.245
0,0,556.3,24.63,27.32,2,0.0,0.0,0,672.8915999999999
1,0,1063.68,43.29,22.28,12,1063.68,0.0,0,964.5012
1,0,1059.37,43.01,25.87,10,1059.37,0.0,0,1112.6687
0,0,362.97,44.08,27.86,5,0.0,0.0,0,1228.0688
0,0,768.78,30.82,26.48,1,0.0,0.0,0,816.1136
0,0,781.42,35.75,25.33,2,0.0,0.0,0,905.5475
0,0,885.72,31.59,26.97,1,0.0,0.0,0,851.9823
1,0,581.87,30.49,24.84,1,581.87,0.0,0,757.3716
0,0,444.17,28.14,26.36,4,0.0,0.0,0,741.7704
0,0,1335.57,33.54,26.08,1,0.0,0.0,0,874.7231999999999
1,1,401.33,18.38,22.97,3,401.33,401.33,1,422.1886
0,0,454.82,26.03,25.36,2,0.0,0.0,0,660.1208
1,0,1163.48,51.71,23.76,10,1163.48,0.0,0,1228.6296000000002
0,0,550.38,24.74,27.16,2,0.0,0.0,0,671.9384
1,0,791.45,37.68,26.42,11,791.45,0.0,0,995.5056
1,0,814.47,38.53,28.04,10,814.47,0.0,0,1080.3812
0,0,514.1,43.94,26.45,6,0.0,0.0,0,1162.213
0,0,703.45,45.75,26.9,5,0.0,0.0,0,1230.675
0,0,1069.22,28.48,26.31,3,0.0,0.0,0,749.3088
1,0,1033.6,32.81,28.83,1,1033.6,0.0,0,945.9123
0,0,1516.0,40.24,25.27,11,0.0,0.0,0,1016.8648
0,0,1108.55,43.83,27.08,5,0.0,0.0,0,1186.9163999999998
0,0,838.03,40.26,25.63,5,0.0,0.0,0,1031.8638
0,0,730.07,31.98,25.59,1,0.0,0.0,0,818.3682
0,0,349.63,44.58,25.65,10,0.0,0.0,0,1143.477
0,0,905.45,42.8,25.42,10,0.0,0.0,0,1087.976
1,0,505.03,40.72,25.5,10,505.03,0.0,0,1038.36
0,0,636.05,38.11,23.5,12,0.0,0.0,0,895.585
1,0,749.62,38.73,25.51,5,749.62,0.0,0,988.0023
0,0,1473.77,41.65,26.15,11,0.0,0.0,0,1089.1474999999998
0,0,581.4,45.12,27.95,5,0.0,0.0,0,1261.1039999999998
0,0,596.63,47.49,21.99,11,0.0,0.0,0,1044.3051
1,0,1379.75,33.79,27.98,1,1379.75,0.0,0,945.4442
1,0,1165.4,39.3,26.41,11,1165.4,0.0,0,1037.913
0,0,408.5,53.57,26.12,9,0.0,0.0,0,1399.2484000000002
1,0,1120.35,40.32,24.11,1,1120.35,0.0,0,972.1152
0,0,476.37,21.5,26.41,3,0.0,0.0,0,567.815
0,0,694.68,22.24,27.59,3,0.0,0.0,0,613.6016
0,0,894.5,31.32,26.49,2,0.0,0.0,0,829.6668
1,0,1118.92,40.23,24.14,1,1118.92,0.0,0,971.1522
1,0,1251.45,33.5,28.02,1,1251.45,0.0,0,938.67
0,0,992.25,36.88,21.38,3,0.0,0.0,0,788.4944
0,1,539.18,56.61,26.1,8,0.0,539.18,0,1477.521
0,0,1809.0,41.72,26.48,11,0.0,0.0,0,1104.7456
0,0,1014.37,42.05,26.11,10,0.0,0.0,0,1097.9254999999998
0,0,841.37,32.91,26.55,1,0.0,0.0,0,873.7605
0,0,525.78,44.72,23.18,1,0.0,0.0,0,1036.6096
0,0,874.53,32.87,22.21,4,0.0,0.0,0,730.0427
0,0,496.33,22.14,27.23,3,0.0,0.0,0,602.8722
